tweet_id,favorite_count,retweet_count
861288531465048066,17216,4194
861005113778896900,16743,3833
860981674716409858,0,2180
860924035999428608,0,830
860563773140209665,7529,2180
860524505164394496,23696,5348
860276583193509888,18355,3513
860184849394610176,16735,5922
860177593139703809,0,31261
859924526012018688,19622,4136
859851578198683649,15473,3557
859607811541651456,18680,1599
859196978902773760,90402,30631
859074603037188101,34055,13829
858860390427611136,0,8277
858843525470990336,15628,3534
858471635011153920,21649,4925
858107933456039936,15833,2956
857989990357356544,16253,2631
857746408056729600,34549,10839
857393404942143489,5959,1676
857263160327368704,20187,4600
857214891891077121,229,18
857062103051644929,0,176
857029823797047296,19117,4093
856602993587888130,0,10925
856543823941562368,16421,2947
856526610513747968,11968,1929
856330835276025856,0,696
856288084350160898,525,17
856282028240666624,28038,6476
855862651834028034,348,27
855860136149123072,5095,1052
855857698524602368,11995,2165
855851453814013952,46042,18186
855818117272018944,26964,5581
855459453768019968,30330,8433
855245323840757760,0,6148
855138241867124737,0,47
854732716440526848,23185,6288
854482394044301312,29790,7081
854365224396361728,19210,4841
854120357044912130,32527,7723
854010172552949760,16495,3256
853760880890318849,29130,5986
853639147608842240,35522,10502
853299958564483072,15847,3701
852936405516943360,0,2080
852912242202992640,9261,1904
852672615818899456,15245,2244
852553447878664193,16724,3651
852311364735569921,33871,10264
852226086759018497,20470,7071
852189679701164033,11729,1652
851953902622658560,0,10014
851861385021730816,0,23
851591660324737024,16609,3613
851464819735769094,24871,7384
851224888060895234,21221,5960
850753642995093505,31822,9677
850380195714523136,13415,2733
850333567704068097,3530,350
850145622816686080,16787,4002
850019790995546112,21028,5112
849776966551130114,31337,7954
849668094696017920,0,5180
849412302885593088,16343,3288
849336543269576704,11756,1977
849051919805034497,43753,8920
848690551926992896,25981,4529
848324959059550208,25528,4819
848213670039564288,8427,780
848212111729840128,16834,3216
847978865427394560,0,3423
847971574464610304,0,447
847962785489326080,24285,5354
847842811428974592,5645,1409
847617282490613760,7236,444
847606175596138505,19398,3570
847251039262605312,21131,4506
847157206088847362,20608,6161
847116187444137987,22128,3369
846874817362120707,20758,4126
846514051647705089,46185,12214
846505985330044928,14585,3247
846153765933735936,32803,9558
846139713627017216,31977,10420
846042936437604353,16559,3053
845812042753855489,30339,9210
845677943972139009,26019,5045
845397057150107648,7912,1905
845306882940190720,24169,5687
845098359547420673,0,8081
844979544864018432,14117,2724
844973813909606400,15667,3394
844704788403113984,40161,10925
844580511645339650,17104,3321
844223788422217728,14147,2326
843981021012017153,15710,3094
843856843873095681,22245,4899
843604394117681152,17537,2916
843235543001513987,22336,6402
842846295480000512,15809,3813
842765311967449089,7003,1352
842535590457499648,18798,3714
842163532590374912,25446,6148
842115215311396866,14569,3214
841833993020538882,0,16264
841680585030541313,26668,8223
841439858740625411,13136,3902
841320156043304961,20569,5778
841314665196081154,16476,4987
841077006473256960,23817,5633
840761248237133825,0,1861
840728873075638272,0,17170
840698636975636481,185,2
840696689258311684,12800,1041
840632337062862849,9348,1861
840370681858686976,17145,4829
840268004936019968,20090,6097
